!=	BaiduTAG	语言术语
!DOCTYPE	BaiduCARD	！文档类型，一个文档类型标记是一种<a>标准通用标记语言</a>的文档类型声明，它的目的是要告诉<a>标准通用标记语言</a>解析器，它应该使用什么样的文档类型定义（<a>DTD</a>）来解析<a>文档</a>。
!DOCTYPE	BaiduTAG	科技
!DOCTYPE	BaiduTAG	计算机学
!DOCTYPE	中文名	！文档类型
!DOCTYPE	外文名	DOCument TYPE
!K7	BaiduTAG	音乐
!K7	BaiduTAG	专辑
!K7	BaiduTAG	音乐人物
"1·18"组织、领导传销系列案	BaiduCARD	2013年9月8日，广西壮族自治区南宁市西乡塘区人民法院一审公开开庭审理受到社会各界关注的“1·18”组织、领导传销系列案。该系列案共有118名被告人，整个传销组织成员超过1900人，人员涉及新疆、安徽、四川、山东、甘肃等多个省区。由于涉案金额特别巨大，该案在侦查阶段被广西公安厅列为“广西一号传销大案”和“2012年全区打击经济犯罪‘破案会战’一号要案”。2013年9月，该系列案将分为3个案件进行审理，庭审时间预计将持续11天。
"1·18"组织、领导传销系列案	中文名	“1·18”组织
"1·18"组织、领导传销系列案	中文名	领导传销系列案
"1·18"组织、领导传销系列案	分类	传销
"1·18"组织、领导传销系列案	地区	广西壮族自治区南宁市
"1·18"组织、领导传销系列案	时间	2013年9月8日
"2011·08·05"特大跨省贩卖毒品案	中文名	2011·08·05"特大跨省贩卖毒品案
"2011·08·05"特大跨省贩卖毒品案	实施单位	公安部指挥全国公安机关
"2011·08·05"特大跨省贩卖毒品案	成果	打掉制贩毒团伙144个等
"2011·08·05"特大跨省贩卖毒品案	涉及	全国31个省区
"2014.2.11"特大偷越国境案	BaiduCARD	辽宁公安边防总队司令部2014年2月25日发布消息：本月21日、22日，辽宁边防总队在驻地刑侦部门的大力配合下，一举侦破“2014.2.11”特大偷越国境案件。目前，辽宁边防总队侦查队已在辽宁省盘锦市、锦州市、抚顺市和河北省三河市抓获涉嫌偷渡6“蛇头”和7名偷渡人员，捣毁犯罪窝点5处，扣押各类护照128本，伪假政府及企业印章536枚，空白户口本400余件，居住证500余本以及一大批用于骗取出境签证的伪假材料及赃款赃物。
"20ATS"智和联盟	BaiduCARD	为帮助艺术体育特长生实现名校梦想，大智教育于2010年与国内20所艺术类高等院校达成战略合作，成立 “20AC（20 art colleges）”智和联盟。通过这两年的合作，大智教育与国内20所艺术类高等院校合作越来越紧密，也帮助了更多艺术体育特长生迈入了心仪名校，为国家培养更多的艺术类，体育类高端人才。
"2752"社团	中文名	“2752”社团
"2752"社团	作者	呐伤
"2752"社团	作者	浅唱
"2752"社团	小说进度	连载
"2752"社团	连载网站	新小说吧
"2813"战略格局	BaiduCARD	在“十一五”末，要初步构建新的高等<a>教育</a>体系，简称(“2813”战略格局)，即到2010年，通过部市共建，
"3+1"流体输送高效节能技术	中文名	3+1”流体输送高效节能技术
"3+1"流体输送高效节能技术	属性	工艺技术
"3+1"流体输送高效节能技术	相关学科	物理学
"3+1"流体输送高效节能技术	相关领域	环保
"3+2"高考750分对策--化学	ISBN	9787810398695
"3+2"高考750分对策--化学	出版时间	1999-11
"3+2"高考750分对策--化学	出版社	首都师范大学出版社
"3+2"高考750分对策--化学	定价	13.00
"3+2"高考750分对策--化学	装帧	平装
"3+X"制度	BaiduCARD	“3+X”制度，是一种2012年刚刚施行的制约政府官员权利的制度，即将各单位普遍具有的财务、人事、采购等3项“共性权力”及部分单位具有的工程建设、行政审批、行政执法等“X”项“差异化权力”实行副职分管和正职监督，从而制约一把手的签字权、话语权、操控权等要害权力，进而从源头上防治和减少一把手腐败的几率。于2012年2月首次在<a>重庆市</a>江北区试点进行。到2012年12月底，该制度的实施取得了一定的效果，该制度切实规范了权力运行，提高了行政效率。
"3.1"班故事	BaiduTAG	书籍
"3.1"班故事	ISBN	9787806047903
"3.1"班故事	作者	赵荔
"3.1"班故事	出版时间	2002-01-01
"3.1"班故事	出版社	长春出版社
"3.1"班故事	副标题	我们的快乐时光
"3.1"班故事	定价	13.5
"3.1"班故事	装帧	平装
"3.13"特大制售假药案	BaiduCARD	宁波市公安机关破获一起涉及全国30个省市、涉案金额达上亿元的“3.13”特大制售假药专案，共抓获犯罪嫌疑人56名，扣押<a>肉毒素</a>、<a>玻尿酸</a>、无注册证<a>医疗器械</a>等假<a>药</a>品、器械共计77类、5万余件，涉案金额超过1亿元，并以此案为突破点，全面查清了国内涉假美容药品和器械的生产窝点及购销网络 。
"3.14"海战	BaiduCARD	1988年3月中旬，中国海军为保卫祖国神圣的领土<a>南沙群岛</a>，又与<a>越南</a>海军展开了一场海上的生死较量。
"3.14”海战	BaiduCARD	1988年3月中旬，中国海军为保卫祖国神圣的领土<a>南沙群岛</a>，又与<a>越南</a>海军展开了一场海上的生死较量。
"3.14”海战	BaiduTAG	历史事件
"3.14”海战	BaiduTAG	军事人物
"3.14”海战	BaiduTAG	历史
"3.14”海战	BaiduTAG	军事
"3.14”海战	BaiduTAG	战争
"3.27"国债期货风波事件	中文名	"3.27"国债期货风波事件
"3.27"国债期货风波事件	地点	<a>上海</a>证券交易所
"3.27"国债期货风波事件	时间	1995年2月23日
"3.27"国债期货风波事件	类型	社会事件
"309"怪谈记实录	中文名	“309”怪谈记实录
"309"怪谈记实录	作者	神诺
"309"怪谈记实录	小说进度	连载
"309"怪谈记实录	连载网站	连城读书
"3331"扶贫工程	BaiduCARD	为了全面贯彻落实《中国农村扶贫开发纲要（2011—2020年）》、省委、省政府《关于贯彻中国农村扶贫开发纲要（2011-2020年）的实施意见》、《陕西省农村扶贫开发条例》以及中、省、市扶贫开发工作会议精神，围绕建设“幸福<a>府谷</a>”主题，按照“十二五”末率先全面建成全省小康示范县的目标和要求，结合实际，特制定我县农村贫困户帮扶工作实施方案
"383"改革方案	BaiduCARD	“383”改革方案，是指2013年由国家发展改革委副主任<a>刘鹤</a>担纲领衔<a>撰写</a>的一个改革方案，包含“三位一体改革思路、八个重点改革领域、三个关联性改革组合”的<a>中国</a>新一轮<a>改革</a>路线图。|||该方案建议将改革分为三个阶段，即2013年至2014年的近期改革、2015年至2017年的中期改革和2018年至2020年的远期改革。|||据和讯网报道：【相关人士：公布383改革方案是个事故 相关人员已做检查】接近中央高层的相关人士透露，10月国务院发展研究中心向社会公布的“383”改革方案，未经相关部门允许，造成事故，相关人员已就此做了纪律检查。“在未经过中央领导同意的情况下擅自对外公布，造成了中央的被动局面”。
"383"改革方案	中文名	“383”改革方案
"383"改革方案	出版发行	《新一轮改革的战略和路径》
"383"改革方案	出版社	中信出版社出版
"383"改革方案	发行时间	2013年11月初
"383"改革方案	提出机构	国务院发展研究中心（国研中心）
"383"改革方案	编写人员	中心主任李伟与刘鹤
"383"方案	BaiduCARD	“383”方案， 是指2013年由国家发展改革委副主任<a>刘鹤</a>担纲领衔撰写的一个改革方案，包含“三位一体改革思路、八个重点改革领域、三个关联性改革组合”的中国新一轮<a>改革</a>路线图。该方案建议将改革分为三个阶段，即2013年至2014年的近期改革、2015年至2017年的中期改革和2018年至2020年的远期改革。
"383"方案	中文名	“383”方案
"383"方案	基础产业	再次重组电信企业
"383"方案	提出时间	2013年
"383"方案	管理体制	公职人员保持廉洁退休领年金
"3·3·3"素质教育的理论与实践	ISBN	9787504121189
"3·3·3"素质教育的理论与实践	作者	朱法良
"3·3·3"素质教育的理论与实践	出版时间	2001-04-01
"3·3·3"素质教育的理论与实践	出版社	教育科学出版社
"3·3·3"素质教育的理论与实践	定价	18.0
"4+1"视图	BaiduCARD	“4+1”视图是对逻辑架构进行描述，最早由 Philippe Kruchten 提出，他在1995年的《IEEE Software》上发表了题为《The 4+1 View Model of Architecture》的论文，引起了业界的极大关注，并最终被 RUP 采纳，现在已经成为<a>架构设计</a>的结构标准。
"4+1"辅导员	BaiduCARD	“4+1”辅导员是高校根据学生工作实际需要，为了更好地进行学生工作队伍建设而采取的一种招聘辅导员的模式。目前国内高校中，<a>哈尔滨工业大学</a>从1993年起便开始试行这一制度，经过多年的发展，制度渐趋完善，已经成功培养出许多优秀的学生辅导员，极大地提高了学生工作队伍的整体质量。
"4+2"模式	BaiduCARD	“4+2”模式，指“教师教育新模式─4+2”。北京师大近年来正在探索教师教育的一种新模式──4+2。学生在4年本科学习期间，完全按照综合性大学的培养模式，接受本专业的训练；本科学习结束后，志愿从事教师工作的学生，经过一定的筛选程序，进入到教育学院，攻读教育学硕士学位（2年）。毕业后，担任重点中学的高中教师。
"4+2"法则	BaiduCARD	美国一家权威研究机构在跟踪研究了160家公司10年来的200多种管理实践的基础上，得出了一个结论：大多数管理实践与业绩无关，企业只要在战略、文化、执行力、组织架构这4个首要管理实践上表现卓越，并做好人才、领导力、创新、兼并与合作这4个次要管理实践中的任意2个，便能成功在握，基业长青。他们把它称为4+2管理法则，在海外很有影响。
"5-1=0"制度	BaiduCARD	为从制度上保证蔬菜生产的无公害化，邯郸市永年县启动蔬菜编码溯源制，对蔬菜生产实施全程监控，并创造性的推行了“5－1=0”的五户联保责任制。“5－1=0”制度
"520"公路	中文名	“520”公路
"520"公路	作者	晚妍清羽
"520"公路	小说进度	连载
"520"公路	连载网站	晋江文学城
"5678"梯队	BaiduCARD	“5678”梯队是指中央在选人、用人上仍秉持德才兼备、以德为先的原则，“年轻化”是干部选拔的重要条件之一，但不会“为年轻而年轻”。采用省部级普遍由“50后”、“60后”组成；地厅级由“60后”、“70后”组成；县处级以“70后”为主，“80后”为辅。
"5D"技术	中文名	"5D"技术
"5D"技术	宣传语	大屏幕彩电的广告上或文章中
"5D"技术	属性	5种不同类型的数字电路
"5D"技术	特点	色彩亮度清晰度方面大幅度提高
"5S"活动	BaiduCARD	“5S”是整理(Seiri)、整顿(Seiton)、清扫(Seiso)、清洁(Seikeetsu)和素养(Shitsuke)这5个词的缩写。因为这5个词日语中罗马拼音的第一个字母都是“S”，所以简称为“5S”，开展以整理、整顿、清扫、清洁和素养为内容的活动，称为“5S”活动。
"5W"传播模式	BaiduCARD	1948年，拉斯韦尔明确提出了传播过程及其五个基本构成要素，即：谁（Who），说了什么（Says what），通过什么渠道（In Which Channel），对谁说（To Whom），取得了什么效果（With What Effect）。这就是著名的5W传播模式。
"5·12"汶川特大地震四川灾区教育重建研究	BaiduCARD	5·12汶川特大地震四川灾区教育重建研究，书籍名，是一本由四川省“5·12教育重建研究”课题组编著，教育科学出版社于2011年发行的书籍之一。不仅是四川教育人应对灾难大考的答卷，更是当代人留存给后代的一份珍贵遗产。
"5·12"汶川特大地震四川灾区教育重建研究	BaiduTAG	书籍
"5·12"汶川特大地震四川灾区教育重建研究	ISBN	9787504154897
"5·12"汶川特大地震四川灾区教育重建研究	书名	"5·12"汶川特大地震四川灾区教育重建研究
"5·12"汶川特大地震四川灾区教育重建研究	作者	四川省“5·12教育重建研究”课题组编
"5·12"汶川特大地震四川灾区教育重建研究	作者	四川省“‘5·12’灾后教育重建研究”课题组
"5·12"汶川特大地震四川灾区教育重建研究	出版时间	2011-1
"5·12"汶川特大地震四川灾区教育重建研究	出版社	<a>教育科学出版社</a>
"5·12"汶川特大地震四川灾区教育重建研究	定价	35.00元
"5·12"汶川特大地震四川灾区教育重建研究	页数	209
"5·20"杀人碎尸案	BaiduCARD	“5·20”本是一个浪漫甜蜜的日子，然而就在这一天，一段漂浮在我市孝德镇毫照村沟堰里的尸块，却牵出了一起凶残的杀人碎尸案。令人感到震惊的是，案件侦破后，落网的嫌疑人竟主动向警方坦言，他杀死被害者并肢解抛尸，泄愤之外，还隐藏着一个重大的秘密：练胆，为报几年之前的夺妻之恨！
"5·8"沉船事故	BaiduCARD	1987年5月8日11时零1分，南通发生一起震惊中外的重大恶性事故，
"6"号塑料杯	中文名	“6”号塑料杯
"6"号塑料杯	材质	6号塑料聚苯乙烯(PS)
"6"号塑料杯	来源	发泡塑料
"6"号塑料杯	注意事项	对人体有害
"6"号塑料杯	注意事项	高温下
"6+1"产业链	BaiduCARD	“6+1”<a>产业链</a>是由著名经济学家<a>郎咸平</a>提出的。“6”指的是：第一产品设计，第二原料采购，第三仓储运输，第四订单处理，第五批发经营，第六零售；“1”指的是：产品制造。
"6+1"产业链	中文名	"6+1"产业链
"6+1"产业链	相关人物	郎咸平
"6+1"产业链	类型	产业
"6+1"产业链	起始时间	2006
"6.29"广州沿江高速油罐车爆炸事故	BaiduCARD	广州沿江高速南岗段29日4时30分发生重大交通事故，造成20人亡、27人伤。目前，事故原因已查明。至29日12时30分，事故现场基本清理完毕，未发现新的伤亡人员。据了解，现场过火面积约2000平方米。因溶机油燃烧猛烈，且事发时正值凌晨休息时间，事故造成重大人员伤亡，死者大都为来不及逃生的木材厂工人。
"6.29"广州沿江高速油罐车爆炸事故	中文名	"6.29"广州沿江高速油罐车爆炸事故
"6.29"广州沿江高速油罐车爆炸事故	事故后果	27人伤
"6.29"广州沿江高速油罐车爆炸事故	事故后果	20人亡
"6.29"广州沿江高速油罐车爆炸事故	死者类型	大都为来不及逃生的木材厂工人
"6.29"广州沿江高速油罐车爆炸事故	起火时间	29日4时30分
"6.29"广州沿江高速油罐车爆炸事故	过火面积	约2000平方米
"6·26"国际禁毒日	中文名	"6·26"国际禁毒日
"6·26"国际禁毒日	外文名	International Day Against Drug Abuse and Illicit Trafficking
"6·26"国际禁毒日	时间	每年的６月２６日
"6·26"国际禁毒日	起源时间	２０世纪８０年代
"7+1"营养强化面粉	BaiduCARD	“7+1”是国家公众营养与发展中心和国家公众营养改善项目办公室组织国内营养专家，参照国际营养强化的标准，针对中国人群的特点确定的强化面粉配方，营养成分符合中国营养学会DRI标准，即基础配方+建议配方的模式。其中，“7”为基础配方，包括铁、锌、钙、维生素B1、维生素B2、叶酸、烟酸。“1”即维生素A，为建议配方。
"7+1"营养强化面粉	中文名	“7+1”营养强化面粉
"7+1"营养强化面粉	包括	锌
"7+1"营养强化面粉	包括	维生素B1
"7+1"营养强化面粉	包括	铁
"7+1"营养强化面粉	包括	钙
"7+1"营养强化面粉	描述	基础配方+建议配方的模式
"7+1"营养强化面粉	面向	中国人群
"76号"魔窟女谍	BaiduTAG	书籍
"76号"魔窟女谍	ISBN	9787216053112
"76号"魔窟女谍	作者	李伟
"76号"魔窟女谍	出版时间	2007-12
"76号"魔窟女谍	出版社	湖北人民出版社
"76号"魔窟女谍	定价	28.00元
"76号"魔窟女谍	页数	282
"7918"高速公路网	BaiduCARD	我国将用30年时间完成国家高速公路网（简称7918）。这个8.5万公里的高速公路网可覆盖10多亿人口，把我国人口超过20万的城市全部连接起来，加上地方的高速公路，届时我国高速公司总里程将达到12万公里左右，与其时的美国高速公路总里程相当。
"80"后老妈的幸福生活	中文名	“80”后老妈的幸福生活
"80"后老妈的幸福生活	作者	一脸坏笑
"80"后老妈的幸福生活	小说进度	连载
"80"后老妈的幸福生活	连载网站	晋江文学城
"803"特大假币案	BaiduCARD	2013年2月，广东警方公布了组织开展的“803”特大假币案统一收网行动内容，成功侦破十年来首个假币<a>胶片版</a>源案，捣毁两个特大伪造人民币犯罪团伙和2个伪造假币窝点，抓获犯罪嫌疑人37名，缴获成品、半成品假人民币2.1亿元，首次实现对假币犯罪的全链条打击。
"8341"部队	BaiduCARD	“8341”部队，即建国后的<a>中国人民解放军</a>中共中央警卫团。1951年，公安二师更名为警卫师，第四团则更名为第一团。2000年10月，其名称修改为61889部队。
"869"人才发展计划	BaiduCARD	是太原市第一个中长期人才发展规划《太原市中长期人才发展规划纲要（2010—2020年）》的核心内容，指全面创新8项人才工作机制，重点抓好6支人才队伍建设，实施9大重点人才工程。
"8·15"嫖宿幼女案	BaiduCARD	2008年发生在习水县的一起恶性刑事案件
"8·16"抚顺特大洪灾	BaiduCARD	抚顺境内水毁阻断的128处82条公路中，已抢通76处50条，完成阻断公路抢通任务的60%，除清原县外，其它地区所有水毁的县级以上公路全部抢通。经过辽宁省防讯指挥部、省水文局的核对后认为，抚顺水灾主要是局部地区的超极值大暴雨所致。
"8·16"抚顺特大洪灾	中文名	"8·16"抚顺特大洪灾
"8·16"抚顺特大洪灾	原因	强降雨
"8·16"抚顺特大洪灾	发生地	辽宁省抚顺市
"8·16"抚顺特大洪灾	抢修救灾人员	11.2万人
"9.11"之后的阿富汗	BaiduCARD	“9·11”、塔利班、阿富汗、美国、反恐。这5个词是近8年来国际政治中最热门的词汇，它们带给世界的影响之大，直到今天还难以做出全面评价。“9·11事件”的影响还在渗透；阿富汗的重建进程仍困难重重，前景难以预料；塔利班似乎又有死灰复燃的趋势；美国选出了首位黑人总统，且奥巴马在大选前就许诺要纠正伊拉克战争的错误，把美军的军事重心放到阿富汗。此外，世界仍面临着恐怖主义的威胁，“越反越恐”似乎成为一个定律。所以，现在就对阿富汗自“9·11事件”之后的历史进行总结，似乎为时尚早，然而。正是这既短暂又似乎漫长的8年，需要总结的东西太多太多。这段历史，能够带来很多有益的启示。
"9.15"四川渠县重大交通事故	BaiduCARD	13时20分左右，达运集团渠县通林公司一辆车牌号川S31500客车(准载24人，实载24人，其中学生12人)从渠县三汇镇开往渠县县城，行至渠县李馥乡境内平桥处与达州市亚通实业有限公司一辆满载河沙和鹅卵石的车牌为川S37789的货车相撞，导致客车侧翻至3米高的河沟内，并被侧翻货车的河沙和鹅卵石掩埋。截止16日，死亡人数已增至21人。
"9.15"四川渠县重大交通事故	中文名	"9.15"四川渠县重大交通事故
"9.15"四川渠县重大交通事故	事件	交通事故
"9.15"四川渠县重大交通事故	地点	四川渠县
"9.15"四川渠县重大交通事故	时间	2013年9月15日
"9034"现象	BaiduCARD	“9034”现象是<a>台湾</a>人口危机的一种状况，具体指1990年以后出生的年轻人，将有三成没孩子，四成没孙子。这种现象的产生引起台湾人口急剧下降，并带来一系列社会问题，台湾当局通过一系列政策鼓励生育以缓解危机。
"931"现象	BaiduCARD	“931”现象是指一位保险公司的推销员发现了一个神秘的现象，即向9名客户推销就会有3名客户产生投保的想法，而且着3名客户中，一定会有1人投保。营销专家称之为“成效比率”。|||“931”现象其实告诉我们，要想得到顾客的认可，必须要有锲而不舍的精神，而且要采取相应的办法，才能获得成功。|||每个人都应该掌握自己的成效比率，玉商吧，跑几家集团客户就能成功一家？来店里几个客人能成就一比？只有做到心中有数，你才能不畏挫折，勇往直前，充满必胜的信心。
"931"现象	中文名	“931”现象
"931"现象	别名	成效比率
"931"现象	对象	保险公司
"931"现象	特点	锲而不舍的精神
"9·11"国家纪念博物馆	BaiduCARD	“9·11”国家纪念博物馆是为了纪念在<a>9·11事件</a>中失去生命的<a>美国</a>人民，它分为国家纪念馆和国家博物馆两个部分，位于<a>纽约</a>“9·11”恐怖袭击的发生地——<a>世贸中心</a>遗址。纪念博物馆的建筑由<a>以色列</a>建筑师迈克尔·阿拉德和<a>美国园林</a>设计师<a>彼得·沃克</a>共同设计，并于2006年3月13日开工建设，2011年9月11日“9·11”恐怖袭击十周年之际纪念馆部分正式对外开放，而博物馆的场馆将于2012年9月11日开放。首任纪念馆馆长是乔·丹尼尔斯。
"9·11"纪念馆	BaiduCARD	美国<a>世贸中心</a>“9·11”纪念基金会2014年03月24日在纽约正式宣布。
"9·11"纪念馆	中文名	“9·11”纪念馆
"9·11"纪念馆	占地面积	约1万平方米
"9·11"纪念馆	开馆仪式	2014年5月15日
"9·11"纪念馆	正式对外开放	2014年5月21日
"9·8"交通行政执法	BaiduCARD	沪上私家车车主张先生因为恻隐之心竟然引来“非法营运”的<a>横祸</a>。张先生在上班途中，因路人“胃疼”，动了恻隐之心搭其上路，结果，“搭客”拔了他的钥匙，车外七八个身着制服的人将张拖出车外，还被双手反扣，卡住脖子，搜去驾驶证和行驶证。
"@悠闲族@"旅游社	中文名	“@悠闲族@”旅游社
"@悠闲族@"旅游社	作者	莞柔
"@悠闲族@"旅游社	小说进度	连载
"@悠闲族@"旅游社	连载网站	红袖添香网
"A"世纪	中文名	“A”世纪
"A"世纪	作者	leosongs
"A"世纪	小说进度	连载
"A"世纪	连载网站	晋江文学城
"A"日记	中文名	“A”日记
"A"日记	作者	kikoliuy
"A"日记	小说进度	连载
"A"日记	连载网站	晋江文学城
"A23187"载体	BaiduCARD	"A23187"载体是一种移动性<a>离子载体</a>，但它的功能是运输钙离子、镁离子等二价阳离子。在运输金属阳离子进入细胞的同时，将两个氢离子带至细胞外。|||注：在体外受精中，精子与卵子都需要进行获能处理。|||精子获能需要用A23187钙离子溶液或者肝素进行处理
"AIO"尺度	BaiduCARD	为进行生活方式的细分，企业用下面三个尺度来测量消费者的生活方式，即：|||（1）活动（Activities），如消费者的工作、业余消遣、休假、购物、体育、交友等活动；|||（2）兴趣（Interest），如消费者对家庭、服饰的流行式样、食品、娱乐等的兴趣；|||（3）意见（Opinions），如消费者对社会、政治、经济、产品、文化、教育、环境保护等问题的意见。|||由于这三个词的第一个字母分别为A、I、O，这种尺度又叫AIO尺度。
"Avatar"主题曲——I see you	中文名	“Avatar”主题曲——I see you
"Avatar"主题曲——I see you	作者	八爪鱼
"Avatar"主题曲——I see you	小说进度	已完结
"Avatar"主题曲——I see you	连载网站	晋江文学城
"B"人体	BaiduCARD	《“B”人体》是由中国著名山水画大师——丁衍庸 的布面油画作品。 丁衍庸酷爱收藏，藏品中不乏非洲原始木雕，它们也成了启发其艺术灵感的一个重要源泉。不过，以之为题的作品见诸出版物者，包括本作在内仅两幅，这也是丁氏油画存世总量有限的现状所决定的。
"B"人体	中文名	《“B”人体》
"B"人体	作者	丁衍庸
"B"人体	创作年代	1963年
"B"人体	类别	西画雕塑&gt;油画
"B&B"酒店	BaiduCARD	Bed and breakfast，简称B&B，是一种<a>酒店</a>、旅店的类型，和<a>民宿</a>相似。它们主要有床过夜和早餐供应，比纯粹租房多一点，但却没有其它设施，亦不包早餐以外的<a>膳食</a>。<a>经济型酒店</a>在国外被称为B&B酒店，意思是经济型酒店一般只向消费者提供床(bed)和早餐(breakfast)。 经济型酒店也是主要依靠这种服务功能的精简，做到价格上的相对<a>低廉</a>。但是与此同时，经济型酒店的“便利性”也体现在它在交通、手续办理等方面的快捷，以及一些消费者必须的服务项目的设置周到。
"BMW"族	中文名	"BMW"族
"BMW"族	选择1	公交
"BMW"族	选择2	地铁
"BMW"族	选择3	步行
"ChunJi"级补给舰	BaiduCARD	舰长130米、舰宽17.8米、吃水6.5米，9000吨（满载）
"D-Day Kota" Hebergement Insolite	BaiduCARD	"D-Day Kota" Hebergement Insolite位于巴约。是巴约最热门的酒店之一。也是您来到巴约商务和休闲的热门之选。酒店。
"D-Day Kota" Hebergement Insolite	房间数量	1
"D-Day Kota" Hebergement Insolite	英文名称	"D-Day Kota" Hebergement Insolite
"D-Day Kota" Hebergement Insolite	酒店地址	17 rue de la Cartoucherie, Voie Communale de Damigny, 14400 贝叶
"DBR-1"(鹰)远程无人侦察机	BaiduTAG	军事人物
"DBR-1"(鹰)远程无人侦察机	BaiduTAG	军事
"DBR-1"(鹰)远程无人侦察机	中文名	"DBR-1"(鹰)远程无人侦察机
"DBR-1"(鹰)远程无人侦察机	分类	无人侦察机
"DBR-1"(鹰)远程无人侦察机	用途	照相侦察和无线电技术侦察
"DBR-1"(鹰)远程无人侦察机	飞行高度	21000～23000米
"Diver"级救难舰	BaiduCARD	"Diver"级救难舰，本舰原为美国海军"Diver"级救难舰"ARS-7 Grapple"号，由美国加州Basalt Rock厂建造
"EM"菌群	BaiduCARD	“EM”是英语Effective和microorganisms的缩写，意为有益微生物群，是日本琉球大学的比嘉夫教授于1983年研制成功的微生物工程技术中综合性最强的新创造。
"Eleron"微型无人侦察机	BaiduCARD	该微型无人机质量只有2.8kg,由一台300W的无刷电机驱动，飞行速度可达65km/h～105km/h,最大飞行高度为3000m，对预定区域实施60分钟不间断侦察，预编程航迹点可达99个。
